Document name,Created by,Created,Modified by,Modified,Coded Segments,Words,Characters,participant_ID,full_clip_name,excerpt_label_final,genre_code,familiarity_specific_level,age_group,country_code,thought_or_not_response.keys,rating_Q1_music_related.response,rating_Q2_spontaneous.response,invalid,rating_Q3_reality.response,general_rating_Q1_familiarity.response,[Natural World],general_rating_Q2_enjoy.response,demographics.headphones,Creatures,demographics.age,demographics.livingCountry,Terrains,demographics.birthCountry,demographics.nativeLanguage,Sky and Space,demographics.otherLanguage,demographics.otherLanguageText,Vegetation,demographics.gender,demographics.hearingImpariments,Water Features,demographics.hearingImpairmentsText,demographics.education,Weather,demographics.musicianIdentification,Fictional and Spiritual Settings,Scene Qualities,Societal Places,Spatial Orientation,Named Regional Places,[Characters],NARRATIONAL,[Character Descriptors],[Settings],[Outfit Details],Accessories,Hair,Outfit Descriptors,Identity,Professions and Pursuits,Music-related Professions and Pursuits,Relations,Archetypes,Social Collectives,Traits,[Named Figures],Creators,Fictional Characters,Historical and Mythical Figures,Performers and Entertainers,[Social Presence],Solitude,Dyads,Groups,Body Parts,[Objects & Things],Consumables,Everyday Objects,Transport,Commerce and Organisations,Materials and Surfaces,Object Qualities,[Actions],[Agentic Actions],Directed Movement,Daily life,Music-linked Movement,Sports,Creating and Performing,Relational and Social,Consuming,Conflict and Wrongdoing,[Processes and States],Perceptual acts,Non-directional Motions,Rest and Leisure,Transforming and Learning,Waiting and Anticipating,[Action Modifiers],Speed,Characterisation,REFERENTIAL,[Music & Sounds],"Instruments, Ensembles, and Imitations",Music Use and Function,Sound Qualities,"Music Genre, Cultural, and Stylistic Labels",Technical and Structural Music Elements,Playback and Listening Devices,Named Artists and Musicians,Named Songs and Lyrics,Sounds and Sound Effects,"[Media, Art, & Technology]",Media Formats,Media Genres and Styles,Media Packaging Structures,Media Techniques and Effects,Music and Sound in Media,Media Companies and Devices,Digital Platforms and Applications,Named Media References,[Chronology & Events],Events and Occasions,Historical Events and Periods,Narrative Progression,Passage and Repetition of Time,Seasons and Time,EXPERIENTIAL,[Symbolic & Sensory Representations],[Sensory Details],[Visual Details],Colour,Illumination,Text,Vantage Point,"Oddities, Effects, Shapes, Patterns",Smell,Bodily Sensation,Conceptual and Metaphorical References,[Subjective & Personal Experience],Emotions and Affective States,Opinions and Preferences,Personal Significance,Personal Time-linked Connections
1767 (5),hazelaileenvanderwalle,10/12/2025 12:06:53,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,1767,Amb_L_08_new-clip_Ambient_HIGH_Interloper.mp3,Amb_L_08,Amb,L,61to75,US,0,1,1,2,1,1,0,1,1,0,65,United States,0,United States,English,0,,Spanish,0,Male,0,0,NA,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998 (2),hazelaileenvanderwalle,10/12/2025 12:07:39,hazelaileenvanderwalle,08/05/2026 12:07:59,1,3,11,998,Met_L_02_new-clip_Metal_MED_OptiMystic.mp3,Met_L_02,Met,L,18to30,US,0,4,3,1,3,4,0,3,1,0,26,United States,0,United States,English,0,,English,0,Male,0,0,NA,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325 (6),hazelaileenvanderwalle,10/12/2025 12:09:10,hazelaileenvanderwalle,08/05/2026 12:07:59,1,4,18,1325,Ele_L_10_new-clip_Electronic_LOW_Tape.mp3,Ele_L_10,Ele,L,18to30,US,0,4,3,1,4,3,0,5,1,0,29,United States,0,United States,english,0,,NA,0,Female,0,0,NA,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 (6),hazelaileenvanderwalle,10/12/2025 12:10:05,hazelaileenvanderwalle,08/05/2026 12:07:59,1,6,30,52,Amb_L_07_new-clip_Ambient_HIGH_Dont_Bother_Theyre_Here.mp3,Amb_L_07,Amb,L,18to30,UK,0,3,2,1,4,1,0,2,1,0,19,United Kingdom,0,Ireland,english,0,,NA,0,Female,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52 (9),hazelaileenvanderwalle,10/12/2025 12:10:05,hazelaileenvanderwalle,08/05/2026 12:07:59,1,5,26,52,Fun_H_07_new-clip_Funk_HIGH_1999.mp3,Fun_H_07,Fun,H,18to30,UK,0,3,3,1,4,1,0,2,1,0,19,United Kingdom,0,Ireland,english,0,,NA,0,Female,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211 (6),hazelaileenvanderwalle,10/12/2025 12:07:14,hazelaileenvanderwalle,08/05/2026 12:07:59,1,6,26,1211,Pop_H_12_new-clip_Pop_LOW_A_Casa_Sou_Eu_-_Ao_Vivo.mp3,Pop_H_12,Pop,H,31to45,US,0,4,3,1,4,1,0,2,1,0,32,United States,0,United States,english,0,,NA,0,Female,0,0,NA,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324 (7),hazelaileenvanderwalle,10/12/2025 12:08:18,hazelaileenvanderwalle,08/05/2026 12:07:59,1,4,21,1324,Ele_L_11_new-clip_Electronic_LOW_El_Orden_del_Universo.mp3,Ele_L_11,Ele,L,31to45,US,0,1,3,1,3,1,0,1,1,0,42,United States,0,Ghana,English,0,,NA,0,Male,0,0,NA,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752 (8),hazelaileenvanderwalle,10/12/2025 12:06:24,hazelaileenvanderwalle,08/05/2026 12:07:59,1,2,7,1752,Ele_H_06_new-clip_Electronic_HIGH_The_Other_Side_Of_Paradise.mp,Ele_H_06,Ele,H,61to75,US,0,5,1,1,5,1,0,1,1,0,71,United States,0,United States,English,0,,NA,0,Female,0,0,NA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620 (5),hazelaileenvanderwalle,10/12/2025 12:08:18,hazelaileenvanderwalle,08/05/2026 12:07:59,1,7,27,1620,Fun_H_11_new-clip_Funk_HIGH_Smiley_Faces.mp3,Fun_H_11,Fun,H,61to75,US,0,1,5,1,3,3,0,3,1,0,62,United States,0,United States,english,0,,NA,0,Female,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208 (8),hazelaileenvanderwalle,10/12/2025 12:04:56,hazelaileenvanderwalle,08/05/2026 12:13:33,2,6,29,208,Amb_L_12_new-clip_Ambient_LOW_Memories_of_Grass.mp3,Amb_L_12,Amb,L,18to30,UK,0,5,5,0,5,1,0,2,1,0,30,United Kingdom,0,United Kingdom,English,0,,NA,0,Female,0,1,NA,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134 (6),hazelaileenvanderwalle,10/12/2025 12:04:58,hazelaileenvanderwalle,08/05/2026 13:24:09,4,10,63,134,Amb_H_03_new-clip_Ambient_MED_Study_Music_-Concentrate-.mp3,Amb_H_03,Amb,H,18to30,UK,0,5,4,0,2,1,0,4,1,0,30,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
232 (1),hazelaileenvanderwalle,10/12/2025 12:04:59,hazelaileenvanderwalle,08/05/2026 12:41:40,4,30,143,232,Amb_L_09_new-clip_Ambient_LOW_Rain_And_Sea.mp3,Amb_L_09,Amb,L,18to30,UK,0,5,4,0,4,1,0,3,1,0,22,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004 (3),hazelaileenvanderwalle,10/12/2025 12:05:05,hazelaileenvanderwalle,08/05/2026 13:19:24,5,29,149,1004,Amb_H_02_new-clip_Ambient_LOW_Value_Kit.mp3,Amb_H_02,Amb,H,18to30,US,0,5,5,0,5,1,0,2,1,0,28,United States,0,United States,English,0,,NA,0,Male,0,1,NA,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151 (1),hazelaileenvanderwalle,10/12/2025 12:05:09,hazelaileenvanderwalle,08/05/2026 12:41:40,3,17,97,151,Amb_L_07_new-clip_Ambient_HIGH_Dont_Bother_Theyre_Here.mp3,Amb_L_07,Amb,L,18to30,UK,0,5,5,0,2,4,0,5,1,0,29,United Kingdom,0,United Kingdom,English,1,,NA,0,Male,0,0,NA,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017 (5),hazelaileenvanderwalle,10/12/2025 12:05:10,hazelaileenvanderwalle,08/05/2026 13:22:57,4,20,111,1017,Amb_L_07_new-clip_Ambient_HIGH_Dont_Bother_Theyre_Here.mp3,Amb_L_07,Amb,L,18to30,US,0,4,4,0,5,1,0,2,1,0,30,United States,0,United States,English,1,,NA,0,Female,0,0,NA,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1017 (6),hazelaileenvanderwalle,10/12/2025 12:05:10,hazelaileenvanderwalle,08/05/2026 13:06:50,10,42,232,1017,Ele_L_07_new-clip_Electronic_LOW_Memoria.mp3,Ele_L_07,Ele,L,18to30,US,0,5,5,0,2,1,0,4,1,1,30,United States,1,United States,English,0,,NA,0,Female,0,0,NA,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017 (7),hazelaileenvanderwalle,10/12/2025 12:05:10,hazelaileenvanderwalle,08/05/2026 13:21:46,6,35,185,1017,Fil_H_07_new-clip_Film_HIGH_Star_Wars_-Main_Theme-.mp3,Fil_H_07,Fil,H,18to30,US,0,5,5,0,1,5,0,3,1,0,30,United States,0,United States,English,1,,NA,0,Female,0,0,NA,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
979 (2),hazelaileenvanderwalle,10/12/2025 12:05:10,hazelaileenvanderwalle,08/05/2026 12:13:33,1,26,127,979,60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s_H_01,60s,H,18to30,US,0,4,2,0,2,3,0,5,1,0,30,United States,0,United States,english,0,,NA,0,Female,0,0,NA,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79 (3),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:30:33,7,26,134,79,Met_L_02_new-clip_Metal_MED_OptiMystic.mp3,Met_L_02,Met,L,18to30,UK,0,5,5,0,4,2,0,5,1,0,23,United Kingdom,0,United Kingdom,english,0,,punjabi,0,Male,0,0,NA,5,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:06:56,8,22,112,25,80s_L_08_new-clip_80s_LOW_是否.mp3,80s_L_08,80s,L,18to30,UK,0,5,4,0,2,2,0,3,1,0,26,United Kingdom,1,United Kingdom,English,1,,NA,0,Female,0,1,NA,5,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
