participant_ID,full_clip_name,clip_label,genre_code,familiarity_M17,stimulus_group,age_group,country_code,thought_or_not_response.keys,have_thought_input.text,rating_Q1_music_related.response,rating_Q2_spontaneous.response,rating_Q3_reality.response,no_thought_input.text,general_rating_Q1_familiarity.response,general_rating_Q2_enjoy.response,banana_attnCheck.text,demographics.headphones,demographics.age,demographics.livingCountry,demographics.birthCountry,demographics.nativeLanguage,demographics.otherLanguage,demographics.otherLanguageText,demographics.gender,demographics.hearingImpariments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback
2,Amb_H_03_new-clip_Ambient_MED_Study_Music_-Concentrate-.mp3,Amb_H_03,Amb,H,3,18to30,UK,y," i imagined me at a lake meditating on my own, on a sunny but breezy day.",3,2,5,NA,1,3,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,"Cla_H_03_new-clip_Classical_HIGH_Cello_Suite_No._1_in_G_Major,_BWV_1007-_I._Prélude.mp3",Cla_H_03,Cla,H,3,18to30,UK,y,"i know this music from a meme, which is what i thought of. its a meme with this music in the background and jose mourinho.",5,1,1,NA,4,2,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,Fil_L_03_new-clip_Film_MED_The_world_is_amazed_-_Main_Title_Theme.mp3,Fil_L_03,Fil,L,3,18to30,UK,y,"i imagined this music to be in the background of a film, perhaps disney. the music was playing whilst the camera was showing outdoors and animals like rabbits and birds",4,4,5,NA,2,4,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,Fun_L_03_new-clip_Funk_HIGH_Them_Changes.mp3,Fun_L_03,Fun,L,3,18to30,UK,y,i imagined me dancing at a bar with my friends. lights were colourful,5,4,5,NA,5,5,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jaz_L_03,Jaz,L,3,18to30,UK,y,the music reminds me of playing on the wii with my siblings as i was younger. quite quirky sounds that are similar to wii music,5,3,2,NA,1,3,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,Met_L_03_new-clip_Metal_LOW_Viaje_Por_Existir.mp3,Met_L_03,Met,L,3,18to30,UK,y,"this song reminded me of guitar hero, a game where you play guitar. i imagined me in my normal bedroom playing it alone. ",4,3,3,NA,2,2,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,60s_H_03_new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s_H_03,60s,H,3,18to30,UK,n,NA,NA,NA,NA,it was not very thought provoking and quite a repetitive beat.,1,2,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,80s_H_03_new-clip_80s_HIGH_Total_Eclipse_of_the_Heart.mp3,80s_H_03,80s,H,3,18to30,UK,n,NA,NA,NA,NA,"it didnt sound particularly interesting or thought provoking to me, it sounded familiar in the sense that a lot of music sounds like that.",1,2,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,Ele_H_03_new-clip_Electronic_HIGH_One_More_Time.mp3,Ele_H_03,Ele,H,3,18to30,UK,n,NA,NA,NA,NA,I think because i already know the song and don't like it or find it very interesting.,5,1,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
2,Pop_L_03_new-clip_Pop_MED_You_Belong_to_Me.mp3,Pop_L_03,Pop,L,3,18to30,UK,n,NA,NA,NA,NA,im not too sure. the music was quite interesting to me and intriguing but nothing in particular came to mind.,1,4,banana,TRUE,20,United Kingdom,United Kingdom,English,FALSE,NA,Female,FALSE,NA,4,3,NA
3,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,60s_L_12,60s,L,12,18to30,UK,y,it made me feel nostalgic as though it was a theme tune from my childhood that i dont recognise ,4,4,3,NA,1,3,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Amb_L_12_new-clip_Ambient_LOW_Memories_of_Grass.mp3,Amb_L_12,Amb,L,12,18to30,UK,y,"it felt as though i was in some strange mindfulness, meditation class or on hold on an annoying phone line",4,4,3,NA,1,1,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Cla_L_12_new-clip_Classical_LOW_LArbre_des_songes_-_Concerto_for_Violin_and_Orchestra-_1._Librement._II._Vif._III._Lent._IV_Largo_et_animé.mp3,Cla_L_12,Cla,L,12,18to30,UK,y,it made me think of a few old movies and old disney films it feels like the music they use throughout the scenes,4,3,2,NA,2,2,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Fun_H_12_new-clip_Funk_HIGH_September.mp3,Fun_H_12,Fun,H,12,18to30,UK,y,"it reminds me of a lot of tv shows, movies and places ive seen and been to",4,3,1,NA,5,3,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Jaz_H_12_new-clip_Jazz_MED_Take_Five.mp3,Jaz_H_12,Jaz,H,12,18to30,UK,y,IT FELT AS THOUGH I WAS IN OR WATCHING A DETECTIVE MOVIE I COULD SEE RED CARPET AS THE FLOORING IN A HUGE PLACE,5,4,3,NA,1,4,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Met_H_12_new-clip_Metal_HIGH_Chop_Suey.mp3,Met_H_12,Met,H,12,18to30,UK,y,i can picture being in a nice car on the highway; a classic convertible ,5,3,2,NA,2,5,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Pop_H_12_new-clip_Pop_LOW_A_Casa_Sou_Eu_-_Ao_Vivo.mp3,Pop_H_12,Pop,H,12,18to30,UK,y,i feel as though i should be watching an old 70s or 80s love movie,5,5,3,NA,1,1,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,80s_L_12_new-clip_80s_MED_Une_autre_histoire.mp3,80s_L_12,80s,L,12,18to30,UK,n,NA,NA,NA,NA,i have no relating thoughts or memories to this song,1,1,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Ele_L_12_new-clip_Electronic_MED_Looped.mp3,Ele_L_12,Ele,L,12,18to30,UK,n,NA,NA,NA,NA,it was quite a neutral piece that was quite calming instead,1,3,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
3,Fil_H_12_new-clip_Film_LOW_Hammer_of_the_Gods__Opening_Title.mp3,Fil_H_12,Fil,H,12,18to30,UK,n,NA,NA,NA,NA,it just sounds like a horror tune and doesnt really spring anything to mind,2,2,banana,TRUE,24,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,2,NA
4,60s_H_06_new-clip_60s_MED_Cinnamon_Girl.mp3,60s_H_06,60s,H,6,18to30,UK,y, it made me think of a rock concert especially metalica who i have seen before in concert ,4,3,1,NA,2,4,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,80s_H_06_new-clip_80s_HIGH_Sweet_Dreams_-Are_Made_of_This-.mp3,80s_H_06,80s,H,6,18to30,UK,y,i immediately thought of the flash movies and tv ,5,5,2,NA,5,4,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,Amb_H_06_new-clip_Ambient_HIGH_Sweden.mp3,Amb_H_06,Amb,H,6,18to30,UK,y,"i vividly imagined minecraft the online game as this music often plays in the game, i specifically imagined playing the game mining and building houses with my old friends ",5,5,1,NA,5,3,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,"Cla_H_06_new-clip_Classical_HIGH_Nocturne_No._2_in_E-Flat_Major,_Op._9_No._2.mp3",Cla_H_06,Cla,H,6,18to30,UK,y,"weirdly enough this song reminded me of a tv show 'only murders in the building' i imagined some of the scenes from the show, but it also sort of reminded me of the ballet",4,4,1,NA,4,3,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,Ele_H_06_new-clip_Electronic_HIGH_The_Other_Side_Of_Paradise.mp3,Ele_H_06,Ele,H,6,18to30,UK,y,it sort of reminded me of the youtube vlogs that happened a few years ago i thought about their intros that were usually accomanied by this sort of music ,3,2,2,NA,1,1,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,Fil_L_06_new-clip_Film_MED_Hoffa_Trailer.mp3,Fil_L_06,Fil,L,6,18to30,UK,y,i imagined the sort of basic spy movie like james bond but also action movies like the fast and furious ,5,4,4,NA,4,3,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,Met_L_06_new-clip_Metal_MED_Check_My_Brain.mp3,Met_L_06,Met,L,6,18to30,UK,y,this again sort of reminded me of rock concerts such as metalica although this piece seemed to give a more vivid image of the concert with the moshing crowd ,4,3,2,NA,1,4,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,Fun_L_06_new-clip_Funk_MED_Charisma.mp3,Fun_L_06,Fun,L,6,18to30,UK,n,NA,NA,NA,NA,i think there were so many different scenes that could go with this piece that i could not pinpoint one single thought so nothing came to mind ,2,1,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,Jaz_L_06,Jaz,L,6,18to30,UK,n,NA,NA,NA,NA,i dont think the music was very stimulating at all,1,2,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
4,Pop_L_06_new-clip_Pop_MED_I_Turn_To_You.mp3,Pop_L_06,Pop,L,6,18to30,UK,n,NA,NA,NA,NA,i just could not really imagine any sort of scene with this music,1,1,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
5,60s_H_03_new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s_H_03,60s,H,3,18to30,UK,y,"Farmer. At first he is hanging out with his cow, but then he gets in his tractor and starts driving it about in the field",5,4,3,NA,1,3,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,80s_H_03_new-clip_80s_HIGH_Total_Eclipse_of_the_Heart.mp3,80s_H_03,80s,H,3,18to30,UK,y,Slow motion shot of group of people walking away from each other in separate directions after a reunion. Feels like the end of a tv series and characters have just said their goodbyes for the lasttime and it is bittersweet,5,4,3,NA,2,3,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,Amb_H_03_new-clip_Ambient_MED_Study_Music_-Concentrate-.mp3,Amb_H_03,Amb,H,3,18to30,UK,y,"Large orchestra in opening movements, big audience all with focus on the three musicians currently playing, the rest of the orchestra all poised to play something dramatic. Waiting, building up to something",4,4,2,NA,1,4,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,"Cla_H_03_new-clip_Classical_HIGH_Cello_Suite_No._1_in_G_Major,_BWV_1007-_I._Prélude.mp3",Cla_H_03,Cla,H,3,18to30,UK,y,"A rabbit in the forest. Then he meets a deer. We zoom out a bit and see there is a wolf/fox on the prowl and he seems to smell the animals, and is interested for a moment, before he walks on",5,4,5,NA,2,5,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,Ele_H_03_new-clip_Electronic_HIGH_One_More_Time.mp3,Ele_H_03,Ele,H,3,18to30,UK,y,"Just a generic club, but with slightly more interesting music. Probably fairly early in the evening.",4,3,4,NA,1,2,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,Fil_L_03_new-clip_Film_MED_The_world_is_amazed_-_Main_Title_Theme.mp3,Fil_L_03,Fil,L,3,18to30,UK,y,"Sun rising on a magical kingdom - medieval style - of elf-like people who are all happily going about their day. Not in a citylike way, more a small village way, but the whole kingdom",5,4,4,NA,1,4,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jaz_L_03,Jaz,L,3,18to30,UK,y,Man waiting in a lift in a hawaiian(?)  shirt. He is trying to make a call but he has no service on his mobile and the lift ride seems to take forever.,5,4,2,NA,2,1,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,Met_L_03_new-clip_Metal_LOW_Viaje_Por_Existir.mp3,Met_L_03,Met,L,3,18to30,UK,y,"pirate ship, then fight scene, given already had pirate ship in head it was very movie-esque fight scene with swords on a boat and a few comedic falls",5,4,4,NA,1,4,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,Pop_L_03_new-clip_Pop_MED_You_Belong_to_Me.mp3,Pop_L_03,Pop,L,3,18to30,UK,y,Slow motion death scene of morally grey character protagonist hadn't let go of emotionally yet. (I don't know how else to explain it),5,5,4,NA,1,3,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
5,Fun_L_03_new-clip_Funk_HIGH_Them_Changes.mp3,Fun_L_03,Fun,L,3,18to30,UK,n,NA,NA,NA,NA,it just didn't really make me think of anything. I found myself nearly tuning it out despite actively listening to it,1,3,banana,TRUE,18,United Kingdom,United Kingdom,english,FALSE,NA,Female,FALSE,NA,3,3,NA
6,60s_H_05_new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,60s_H_05,60s,H,5,18to30,UK,y,Ballroom dancing. Classy people.,5,4,5,NA,2,3,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,80s_H_05_new-clip_80s_HIGH_Who_Can_It_Be_Now_.mp3,80s_H_05,80s,H,5,18to30,UK,y,80's setting. driving down a city road.,3,2,5,NA,3,3,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,Amb_H_05_new-clip_Ambient_HIGH_snowfall.mp3,Amb_H_05,Amb,H,5,18to30,UK,y,Submerged in the ocean looking up towards to sky. Then a whale swims past.,5,5,4,NA,4,5,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,"Cla_H_05_new-clip_Classical_HIGH_Wiegenlied,_Op._49,_No._4_-Arr._for_Cello_and_Piano-_-Brahms_Lullaby-.mp3",Cla_H_05,Cla,H,5,18to30,UK,y,"Laying down on open field during the day, looking at clouds",4,4,5,NA,4,4,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,Fil_L_05_new-clip_Film_LOW_Main_Titles.mp3,Fil_L_05,Fil,L,5,18to30,UK,y,Cyberpunk dystopion setting. Walking through the slums.,4,3,2,NA,4,3,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,"Jaz_L_05_new-clip_Jazz_LOW_Thinking_of_You,_Mjq.mp3",Jaz_L_05,Jaz,L,5,18to30,UK,y,Black and white setting. Man in suit joyfully playing the piano,3,3,5,NA,3,2,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,Met_L_05_new-clip_Metal_LOW_Under_the_Knife.mp3,Met_L_05,Met,L,5,18to30,UK,y,"Rock concert, band member shredding through electric guitar",2,2,4,NA,3,1,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,Ele_H_05_new-clip_Electronic_HIGH_Electric_Feel.mp3,Ele_H_05,Ele,H,5,18to30,UK,n,NA,NA,NA,NA,Hard to relate to it.,2,3,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,Fun_L_05_new-clip_Funk_LOW_Walking_Trombone.mp3,Fun_L_05,Fun,L,5,18to30,UK,n,NA,NA,NA,NA,"Couldn’t really create a scenario, even though song was upbeat. ",3,4,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
6,Pop_L_05_new-clip_Pop_HIGH_The_Edge_Of_Glory.mp3,Pop_L_05,Pop,L,5,18to30,UK,n,NA,NA,NA,NA,A lot of sounds everywhere. Hard to think,3,3,banana,TRUE,26,United Kingdom,United Kingdom,English,TRUE,Bengali,Male,FALSE,NA,3,2,NA
7,60s_H_03_new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s_H_03,60s,H,3,18to30,UK,y,"the countryside, sunny day, no clouds, warm breeze",5,3,2,NA,1,3,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,"Cla_H_03_new-clip_Classical_HIGH_Cello_Suite_No._1_in_G_Major,_BWV_1007-_I._Prélude.mp3",Cla_H_03,Cla,H,3,18to30,UK,y,"royal building, castle, victorian era",2,2,4,NA,4,3,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,Ele_H_03_new-clip_Electronic_HIGH_One_More_Time.mp3,Ele_H_03,Ele,H,3,18to30,UK,y,"houseparty, dark, disco lights, but also summer time, outside, with family",3,3,1,NA,5,4,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,Fil_L_03_new-clip_Film_MED_The_world_is_amazed_-_Main_Title_Theme.mp3,Fil_L_03,Fil,L,3,18to30,UK,y,"disneyland, magical castle, fairy tales",5,2,3,NA,2,2,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,Fun_L_03_new-clip_Funk_HIGH_Them_Changes.mp3,Fun_L_03,Fun,L,3,18to30,UK,y,"a relaxed environment with friends, maybe in a bedroom or living room",2,3,2,NA,2,3,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jaz_L_03,Jaz,L,3,18to30,UK,y,"jazz bar, low light, red glass lampshades",4,2,5,NA,1,3,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,Met_L_03_new-clip_Metal_LOW_Viaje_Por_Existir.mp3,Met_L_03,Met,L,3,18to30,UK,y,"final boss battle in a game, big fight",3,2,2,NA,2,4,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,80s_H_03_new-clip_80s_HIGH_Total_Eclipse_of_the_Heart.mp3,80s_H_03,80s,H,3,18to30,UK,n,NA,NA,NA,NA,the music was quite boring,1,1,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,Amb_H_03_new-clip_Ambient_MED_Study_Music_-Concentrate-.mp3,Amb_H_03,Amb,H,3,18to30,UK,n,NA,NA,NA,NA,"boring music, uninspiring",1,1,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
7,Pop_L_03_new-clip_Pop_MED_You_Belong_to_Me.mp3,Pop_L_03,Pop,L,3,18to30,UK,n,NA,NA,NA,NA,there wasnt much variation in the music itself,1,2,banana,TRUE,22,United Kingdom,United Kingdom,English,FALSE,NA,Male,FALSE,NA,5,2,NA
8,60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s_H_01,60s,H,1,18to30,UK,y,"Sounded like the opening theme of a tv show. I would imagine the show would be set in the 70s with flares, big sunglasses, moustaches, based around an LA drama series (possibly drug dealing related).",4,3,5,NA,2,4,Banana,TRUE,28,United Kingdom,United Kingdom,English,FALSE,NA,Female,TRUE,"I was born with holes in my eardrums, I have had tympanoplasty surgeries to fix this (3 operations between both ears). My hearing levels are good but my hearing is better in my right ear, than in my left. I struggle sometimes in conversations with lots of people to hear every word of what someone is saying.",5,3,No comments 
8,80s_H_01_new-clip_80s_HIGH_Take_on_Me.mp3,80s_H_01,80s,H,1,18to30,UK,y,"Young people in a nightclub in the 80s, with flashing lights in the cube shaped floor, lots of quiffs and smart suits, lots of hairspray in womens hair. Lots of dancing and generally happy people hearing the song",3,2,1,NA,5,5,Banana,TRUE,28,United Kingdom,United Kingdom,English,FALSE,NA,Female,TRUE,"I was born with holes in my eardrums, I have had tympanoplasty surgeries to fix this (3 operations between both ears). My hearing levels are good but my hearing is better in my right ear, than in my left. I struggle sometimes in conversations with lots of people to hear every word of what someone is saying.",5,3,No comments 
8,Amb_H_01_new-clip_Ambient_HIGH_A_Walk.mp3,Amb_H_01,Amb,H,1,18to30,UK,y,"This piece of music makes me imagine a phone alarm going off very early in the morning, or being inside of a thai massage parlour and hearing relaxing background music ",5,5,1,NA,1,2,Banana,TRUE,28,United Kingdom,United Kingdom,English,FALSE,NA,Female,TRUE,"I was born with holes in my eardrums, I have had tympanoplasty surgeries to fix this (3 operations between both ears). My hearing levels are good but my hearing is better in my right ear, than in my left. I struggle sometimes in conversations with lots of people to hear every word of what someone is saying.",5,3,No comments 
8,"Cla_H_01_new-clip_Classical_HIGH_Tchaikovsky-_Swan_Lake,_Op._20,_Act_2-_No._10,_Scene._Moderato.mp3",Cla_H_01,Cla,H,1,18to30,UK,y,"Harry Potter related, mysterious figures (no specific faces), dark alleyways",5,5,1,NA,5,3,Banana,TRUE,28,United Kingdom,United Kingdom,English,FALSE,NA,Female,TRUE,"I was born with holes in my eardrums, I have had tympanoplasty surgeries to fix this (3 operations between both ears). My hearing levels are good but my hearing is better in my right ear, than in my left. I struggle sometimes in conversations with lots of people to hear every word of what someone is saying.",5,3,No comments 
8,Fil_L_01_new-clip_Film_MED_Tinker_Tailor_Soldier_Spy.mp3,Fil_L_01,Fil,L,1,18to30,UK,y,"A pianist sitting inside on a rainy evening playing emotional music to themselves, a low lighting situation where they are feeling down/sorry for themselves",4,2,3,NA,1,4,Banana,TRUE,28,United Kingdom,United Kingdom,English,FALSE,NA,Female,TRUE,"I was born with holes in my eardrums, I have had tympanoplasty surgeries to fix this (3 operations between both ears). My hearing levels are good but my hearing is better in my right ear, than in my left. I struggle sometimes in conversations with lots of people to hear every word of what someone is saying.",5,3,No comments 
8,Fun_L_01_new-clip_Funk_LOW_Make_Some_Noise.mp3,Fun_L_01,Fun,L,1,18to30,UK,y,"A money heist scene with montage shots, elements of danger, with the singing voice coming in this could signify the heist is taking place maybe in Northern Africa, somewhere like Morocco ",4,2,4,NA,1,2,Banana,TRUE,28,United Kingdom,United Kingdom,English,FALSE,NA,Female,TRUE,"I was born with holes in my eardrums, I have had tympanoplasty surgeries to fix this (3 operations between both ears). My hearing levels are good but my hearing is better in my right ear, than in my left. I struggle sometimes in conversations with lots of people to hear every word of what someone is saying.",5,3,No comments 
